,Flight,Aicraft
0,SG-8709,B38M
1,SG-8157,737
2,I5-764,A20N
3,UK-995,A320
4,UK-963,A320
5,UK-945,A320
6,UK-927,A320
7,UK-951,A320
8,G8-334,A320
9,G8-336,A320
10,G8-392,A320
11,G8-338,A320
12,6E-5001,A321
13,6E-6202,A320
14,6E-549,A321
15,6E-6278,A321
16,AI-887,A321
17,AI-665,A321
18,I5-747,A20N
19,G8-266,A320
20,G8-101,A320
21,G8-103,A320
22,AI-441,A20N
23,6E-5328,A321
24,UK-933,A320
25,6E-2046,A321
26,I5-744,A320
27,SG-8169,737
28,6E-5041,A320
29,G8-165,A320
30,6E-2373,A320
31,UK-813,A320
32,UK-817,A321
33,UK-819,A321
34,UK-801,A320
35,UK-815,A320
36,AI-453,A321
37,SG-2976,DH8B
38,AI-504,A20N
39,AI-502,A20N
40,AI-506,A20N
41,AI-803,A20N
42,AI-479,A321
43,SG-339,737
44,UK-955,A320
45,UK-627,A320
46,I5-784,A20N
47,AI-9643,
48,AI-540,A321
49,AI-429,A321
50,AI-439,A20N
51,AI-9645,
52,6E-2193,A320
53,6E-2168,A321
54,6E-152,A320
55,6E-369,A320
56,UK-899,A320
57,AI-764,A321
58,UK-747,A320
59,UK-809,A320
60,UK-737,A320
61,6E-2338,A321
62,G8-237,A320
63,UK-871,A320
64,AI-762,A321
65,G8-1404,A320
66,AI-512,A319
67,AI-537,A20N
68,UK-977,A320
69,6E-184,A320
70,SG-3002,DH8B
71,6E-2102,A321
72,AI-801,A321
73,UK-637,A320
74,UK-835,A320
75,AI-531,A321
76,UK-705,A320
77,UK-707,A320
78,UK-673,A320
79,AI-839,A20N
80,UK-879,A320
81,G8-191,A320
82,AI-767,A20N
83,AI-401,A321
84,AI-473,A20N
85,G8-213,A320
86,AI-409,A320
87,UK-837,A320
88,AI-877,A20N
89,SG-8803,737
90,UK-985,A321
91,UK-953,B738
92,G8-346,A320
93,G8-330,A320
94,G8-323,A320
95,6E-218,A321
96,6E-6722,A320
97,AI-868,B77W
98,AI-805,B788
99,AI-624,A20N
100,G8-188,A320
101,AI-636,A20N
102,6E-2022,A320
103,AI-469,A320
104,AI-542,A20N
105,AI-560,A20N
106,UK-683,A320
107,AI-403,A20N
108,6E-2154,A320
109,AI-9843,
110,AI-544,B77W
111,6E-282,A321
112,UK-859,A320
113,UK-829,A321
114,AI-9857,
115,6E-607,A320
116,AI-885,A320
117,SG-2277,DH8B
118,G8-719,A320
119,G8-119,A320
120,G8-717,A320
121,UK-706,A320
122,AI-465,A20N
123,6E-5018,A321
124,UK-839,A320
125,UK-833,A320
126,AI-406,A20N
127,AI-9809,
128,G8-286,A320
129,UK-847,A321
130,AI-411,A320
131,G8-113,A320
132,SG-8483,737
133,AI-475,A321
134,6E-181,A320
135,6E-2092,A320
136,AI-9911,
137,6E-5063,A321
138,6E-7403,ATR
139,UK-855,A320
140,AI-807,A320
141,G8-300,A320
142,AI-811,A319
143,AI-431,A321
144,SG-1089,737
145,SG-1061,DH8B
146,SG-1063,
147,6E-2054,A320
148,AI-678,A20N
149,G8-1010,A320
150,AI-435,A20N
151,AI-499,A319
152,AI-9887,
153,AI-483,A321
154,G8-357,A320
155,AI-451,A320
156,AI-471,A20N
157,SG-1091,
158,UK-981,A321
159,UK-975,A320
160,UK-993,A320
161,UK-943,A320
162,UK-941,A320
163,I5-721,A20N
164,I5-773,A20N
165,G8-199,A320
166,SG-8339,737
167,AI-481,A320
168,AI-9939,
169,UK-811,A320
170,UK-807,A320
171,AI-9915,
172,6E-2137,A321
173,6E-2097,A320
174,6E-926,A321
175,AI-415,A320
176,G8-2401,A320
177,UK-727,A320
178,AI-423,A321
179,AI-865,A20N
180,6E-2083,A320
181,AI-485,A20N
182,6E-5088,A321
183,I5-740,A320
184,I5-482,A320
185,6E-2901,
186,6E-6261,A320
187,6E-2013,A320
188,I5-1529,A320
189,I5-741,A320
190,G8-7533,
191,G8-7534,
192,G8-7535,
193,G8-530,A320
194,G8-354,A320
195,G8-2501,A320
196,6E-171,A320
197,I5-788,A320
198,G8-211,A320
199,G8-7553,
200,G8-2509,A320
201,G8-194,A320
202,G8-2609,A320
203,6E-2042,A320
204,G8-713,A320
205,I5-798,A20N
206,I5-775,A320
207,G8-7541,
208,G8-2403,A320
209,G8-203,A320
210,G8-209,A320
211,AI-837,A321
212,I5-881,A320
213,6E-5329,A321
214,6E-2081,A321
215,6E-573,A320
216,AI-491,A321
217,AI-883,A321
218,AI-9609,
219,AI-9015,
220,SG-9974,DH8B
221,AI-9017,
222,6E-865,A320
223,I5-735,A20N
224,6E-2033,A320
225,6E-6245,A320
226,6E-5042,A321
227,SG-8723,737
228,SG-8701,737
229,6E-2519,A321
230,6E-153,A320
231,6E-5026,A320
232,6E-5087,A320
233,6E-736,A320
234,AI-861,A321
235,6E-6939,A320
236,6E-6231,A320
237,AI-437,A321
238,6E-212,A321
239,6E-7336,AT43
240,6E-6098,A320
241,6E-698,A320
242,UK-812,A320
243,AI-641,A320
244,SG-2643,DH8B
245,G8-268,A320
246,G8-207,A320
247,G8-404,A320
248,6E-7348,AT43
249,6E-2274,A321
250,G8-105,A320
251,G8-2511,A320
252,G8-143,A320
253,6E-2176,A320
254,6E-864,A321
255,G8-108,A320
256,AI-407,A319
257,AI-487,A20N
258,G8-107,A320
259,UK-671,A320
260,SG-191,737
261,6E-2026,A321
262,6E-5175,A320
263,6E-2188,A321
264,6E-654,A321
265,6E-2028,A321
266,I5-548,A320
267,SG-8185,737
268,SG-8946,B38M
269,6E-2471,A320
270,6E-186,A321
271,G8-2513,A320
272,G8-131,A320
273,6E-2147,A321
274,6E-198,A320
275,G8-133,A320
276,6E-6205,A321
277,6E-2247,A320
278,6E-2005,A321
279,I5-767,A20N
280,I5-792,A320
281,I5-783,A20N
282,AI-459,A20N
283,UK-741,A320
284,AI-467,A20N
285,SG-143,737
286,6E-2914,
287,6E-788,A320
288,6E-2616,A320
289,6E-2336,A321
290,6E-2131,A321
291,I5-710,A320
292,I5-711,A320
293,SG-8938,B38M
294,I5-768,A20N
295,G8-171,A320
296,6E-221,A320
297,SG-8721,737
298,6E-2331,A321
299,SG-8645,B38M
300,SG-8171,
301,SG-8411,B38M
302,SG-8207,B38M
303,G8-173,A320
304,I5-779,A320
305,6E-2769,A320
306,6E-5059,A321
